formula,space_group,formation_energy_per_atom
RbW,P4/mmm,2.187420242882454
MnMo3,I4/mmm,0.3761156942213759
Fe2Ga,I4/mmm,-0.12365276096924423
Mn3Sn,P4/mmm,0.22060867266678486
PI,R-3m,0.6799114991940689
Ca2W2,P-3m1,0.7517205993905174
Ag2Pb2,R-3m,0.301367482177779
Ga2Sr,P6/mmm,-0.531548045592905
In2Br2,Cmcm,-0.8172334018909813
Cu5Ge,P4/mmm,0.06551667447165659
Ag2Al2,P4/nmm,-0.01369656971817923
MoW3,P4/mmm,-0.0002471644391786043
Fe3Na,Fm-3m,1.1195761482720776
PtRh2,P-3m1,-0.00015705235197197945
AuP2,P-3m1,0.2398619498441311
Ca2Fe,P-3m1,0.8051836766950758
Al4Th6,P4/mbm,-0.24191171605569578
Ge4Br5,I4/mmm,0.2780708243690522
Cu2Ga4,Pnnm,0.031233323128698604
CuGe2,I4/mmm,0.18050515983973034
FeSb3,Immm,0.3358709608334767
In5Sn,P4/mmm,-0.006264214339336031
Sn2W,P4/mmm,0.537531149489921
AgK2,P-3m1,0.11170907244632507
AlNa2,P-3m1,0.16383129512766845
MnRh,Pm-3m,-0.19374377667267062
Ba2Pd4,Cmcm,-0.2163654657637609
Ba3Sb,P4/mmm,-0.4907969730717179
Pt3As,P4/mmm,-0.004400947379038733
Ga2P,Fm-3m,0.1252236395168893
AgP,Pm-3m,0.4563419294753772
Fe2Pd2,R-3m,0.001194901477514776
Ga2Sn3,R-3m,0.04976791118433752
Fe2P,P-3m1,-0.2352563067826985
Ni4U6,R-3c,0.07295809156319137
Ba2Cu4,I4/mcm,0.1950184329572829
AlNi,P-6m2,-0.49302915613013987
CaPb5,Amm2,-0.10957793316820445
Ag4Al,I4/m,-0.048546640132887474
V2Br2,I4_1/amd,0.6952620889988701
CuGe,P4/mmm,0.17502194025799422
FeTh,Fm-3m,0.16345474551250927
In2Sn,P4/mmm,0.08368352493852527
In2Sn4,C2/m,-0.0003308860237745866
MnBr8,I4/mmm,0.04700760850758851
GeP,P-6m2,0.3757062883912843
Ca3Pb,Immm,-0.27439552336675277
IrTa3,Immm,-0.316739098636301
AlPd3,P4/mmm,-0.60903041698508
AuNb,F-43m,1.243237284066657
